DateTime_UTC,Temp_F,RH_pct,Wind_Spd_mph,Wind_Direction_deg,Low_Cloud_Ht_ft,Visibility_mi,Atm_Press_hPa,Precip_in
2006-10-01 00:00:00,48.0,86.0,7,150,4100,10,984.0,0.0
2006-10-01 01:00:00,48.0,86.0,8,150,6000,10,983.7,0.0
2006-10-01 02:00:00,48.0,86.0,6,150,5500,10,982.7,0.0
2006-10-01 03:00:00,48.0,86.0,8,150,6000,10,982.0,0.0
2006-10-01 04:00:00,48.0,89.0,5,150,2200,8,982.0,0.02
2006-10-01 05:00:00,48.0,89.0,6,150,2700,10,981.7,0.01
2006-10-01 06:00:00,42.0,95.0,0,0,4600,8,991.7,0.0
2006-10-01 07:00:00,43.0,96.0,0,0,3900,10,992.3,0.0
2006-10-01 08:00:00,48.0,92.0,0,0,3600,10,993.0,0.0
2006-10-01 09:00:00,55.0,59.0,11,300,3600,10,993.7,0.0
2006-10-01 10:00:00,55.0,61.0,10,300,3600,10,994.3,0.0
2006-10-01 11:00:00,58.0,55.0,8,290,3600,10,995.0,0.0
2006-10-01 12:00:00,56.0,59.0,10,260,3600,10,995.0,0.0
2006-10-01 13:00:00,60.0,53.0,9,300,3800,10,994.7,0.0
2006-10-01 14:00:00,60.0,49.0,10,270,3600,10,994.7,0.0
2006-10-01 15:00:00,60.0,47.0,3,270,0,10,994.7,0.0
2006-10-01 16:00:00,59.0,55.0,6,40,0,10,994.7,0.0
2006-10-01 17:00:00,55.0,71.0,0,0,0,10,994.7,0.0
2006-10-01 18:00:00,50.0,82.0,0,0,8000,10,994.7,0.0
2006-10-01 19:00:00,48.0,86.0,0,0,0,10,995.0,0.0
2006-10-01 20:00:00,48.0,86.0,3,160,12000,10,994.3,0.0
2006-10-01 21:00:00,49.0,79.0,3,130,11000,10,994.3,0.0
2006-10-01 22:00:00,51.0,73.0,6,130,11000,10,993.7,0.0
2006-10-01 23:00:00,51.0,79.0,5,170,10000,10,994.0,0.0
2006-10-02 00:00:00,50.0,92.0,0,0,6500,9,987.3,0.01
2006-10-02 01:00:00,48.0,92.0,3,230,0,9,988.0,0.0
2006-10-02 02:00:00,45.0,100.0,0,0,0,5,988.3,0.0
2006-10-02 03:00:00,43.0,100.0,0,0,4200,5,989.0,0.0
2006-10-02 04:00:00,42.0,95.0,0,0,5000,2,989.7,0.0
2006-10-02 05:00:00,41.0,95.0,0,0,4600,10,990.7,0.0
2006-10-02 06:00:00,58.0,74.0,3,0,8500,10,990.7,0.0
2006-10-02 07:00:00,64.0,67.0,7,0,7500,10,991.3,0.0
2006-10-02 08:00:00,66.0,65.0,8,170,8000,10,991.0,0.0
2006-10-02 09:00:00,68.0,63.0,10,220,0,10,990.7,0.0
2006-10-02 10:00:00,69.0,62.0,7,220,7500,10,990.7,0.0
2006-10-02 11:00:00,72.0,59.0,9,210,0,10,990.7,0.0
2006-10-02 12:00:00,75.0,55.0,9,250,0,10,990.3,0.0
2006-10-02 13:00:00,77.0,51.0,10,230,5000,10,989.7,0.0
2006-10-02 14:00:00,75.0,53.0,15,220,5000,10,989.7,0.0
2006-10-02 15:00:00,73.0,57.0,13,210,5000,10,989.7,0.0
2006-10-02 16:00:00,71.0,63.0,8,210,5000,10,989.7,0.0
2006-10-02 17:00:00,70.0,65.0,6,210,11000,10,990.0,0.0
2006-10-02 18:00:00,69.0,67.0,3,210,0,10,990.7,0.0
2006-10-02 19:00:00,64.0,83.0,0,0,0,10,990.0,0.0
2006-10-02 20:00:00,65.0,81.0,0,0,0,10,991.0,0.0
2006-10-02 21:00:00,68.0,70.0,6,0,0,10,991.0,0.0
2006-10-02 22:00:00,67.0,72.0,6,0,0,10,990.7,0.0
2006-10-02 23:00:00,66.0,75.0,3,0,0,10,990.7,0.0
2006-10-03 00:00:00,55.0,66.0,5,0,11000,10,993.7,0.0
2006-10-03 01:00:00,55.0,66.0,5,190,6500,8,993.3,0.0
2006-10-03 02:00:00,54.0,74.0,6,190,4100,10,992.0,0.0
2006-10-03 03:00:00,55.0,71.0,6,190,10000,10,991.7,0.0
2006-10-03 04:00:00,56.0,71.0,7,190,0,10,991.3,0.01
2006-10-03 05:00:00,55.0,77.0,6,140,0,10,991.7,0.0
2006-10-03 06:00:00,61.0,87.0,0,0,500,1,994.3,0.0
2006-10-03 07:00:00,61.0,89.0,5,270,300,2,994.7,0.0
2006-10-03 08:00:00,59.0,96.0,5,280,300,1,995.7,0.0
